1000,1000,1000.0
-1000,-1000,0.416785121
1000,1000,0.416785121
-1000,-1000,0.3656464815
1000,1000,0.3656464815
-1000,-1000,0.3194793463
1000,1000,0.3194793463
-1000,-1000,0.2778003812
1000,1000,0.2778003812
-1000,-1000,0.2420591712
1000,1000,0.2420591712
-1000,-1000,0.2079066932
1000,1000,0.2079066932
-1000,-1000,0.1770743877
1000,1000,0.1770743877
-1000,-1000,0.1492394656
1000,1000,0.1492394656
-1000,-1000,0.1253700256
1000,1000,0.1253700256
-1000,-1000,0.1025616005
1000,1000,0.1025616005
-1000,-1000,0.08197052032
1000,1000,0.08197052032
-1000,-1000,0.06338121742
1000,1000,0.06338121742
-1000,-1000,0.04744023085
1000,1000,0.04744023085
-1000,-1000,0.03220782802
1000,1000,0.03220782802
-1000,-1000,0.01845625788
1000,1000,0.01845625788
-1000,-1000,0.006041560788
1000,1000,0.006041560788
-1000,-1000,-1000.0
