Points:0,Points:1,Points:2
0.0,0.0,0.0
0.0004583333211,-8.000238267e-06,0.0
0.0009166666423,-1.600047653e-05,0.0
0.001374999993,-2.400071389e-05,0.0
0.001833333285,-3.200095307e-05,0.0
0.002291666577,-4.000119225e-05,0.0
0.002749999985,-4.800142779e-05,0.0
0.003208333394,-5.600166696e-05,0.0
0.003666666569,-6.400190614e-05,0.0
0.004124999978,-7.200214168e-05,0.0
0.004583333153,-8.000238449e-05,0.0
0.005041666795,-8.800262003e-05,0.0
0.00549999997,-9.600285557e-05,0.0
0.0004583333211,8.000238267e-06,0.0
0.0009166666423,1.600047653e-05,0.0
0.001374999993,2.400071389e-05,0.0
0.001833333285,3.200095307e-05,0.0
0.002291666577,4.000119225e-05,0.0
0.002749999985,4.800142779e-05,0.0
0.003208333394,5.600166696e-05,0.0
0.003666666569,6.400190614e-05,0.0
0.004124999978,7.200214168e-05,0.0
0.004583333153,8.000238449e-05,0.0
0.005041666795,8.800262003e-05,0.0
0.00549999997,9.600285557e-05,0.0
0.0,0.0,0.0006356071681
0.0004583333211,-8.000238267e-06,0.0006356071681
0.0009166666423,-1.600047653e-05,0.0006356071681
0.001374999993,-2.400071389e-05,0.0006356071681
0.001833333285,-3.200095307e-05,0.0006356071681
0.002291666577,-4.000119225e-05,0.0006356071681
0.002749999985,-4.800142779e-05,0.0006356071681
0.003208333394,-5.600166696e-05,0.0006356071681
0.003666666569,-6.400190614e-05,0.0006356071681
0.004124999978,-7.200214168e-05,0.0006356071681
0.004583333153,-8.000238449e-05,0.0006356071681
0.005041666795,-8.800262003e-05,0.0006356071681
0.00549999997,-9.600285557e-05,0.0006356071681
0.0004583333211,8.000238267e-06,0.0006356071681
0.0009166666423,1.600047653e-05,0.0006356071681
0.001374999993,2.400071389e-05,0.0006356071681
0.001833333285,3.200095307e-05,0.0006356071681
0.002291666577,4.000119225e-05,0.0006356071681
0.002749999985,4.800142779e-05,0.0006356071681
0.003208333394,5.600166696e-05,0.0006356071681
0.003666666569,6.400190614e-05,0.0006356071681
0.004124999978,7.200214168e-05,0.0006356071681
0.004583333153,8.000238449e-05,0.0006356071681
0.005041666795,8.800262003e-05,0.0006356071681
0.00549999997,9.600285557e-05,0.0006356071681
0.0,0.0,0.001276736613
0.0004583333211,-8.000238267e-06,0.001276736613
0.0009166666423,-1.600047653e-05,0.001276736613
0.001374999993,-2.400071389e-05,0.001276736613
0.001833333285,-3.200095307e-05,0.001276736613
0.002291666577,-4.000119225e-05,0.001276736613
0.002749999985,-4.800142779e-05,0.001276736613
0.003208333394,-5.600166696e-05,0.001276736613
0.003666666569,-6.400190614e-05,0.001276736613
0.004124999978,-7.200214168e-05,0.001276736613
0.004583333153,-8.000238449e-05,0.001276736613
0.005041666795,-8.800262003e-05,0.001276736613
0.00549999997,-9.600285557e-05,0.001276736613
0.0004583333211,8.000238267e-06,0.001276736613
0.0009166666423,1.600047653e-05,0.001276736613
0.001374999993,2.400071389e-05,0.001276736613
0.001833333285,3.200095307e-05,0.001276736613
0.002291666577,4.000119225e-05,0.001276736613
0.002749999985,4.800142779e-05,0.001276736613
0.003208333394,5.600166696e-05,0.001276736613
0.003666666569,6.400190614e-05,0.001276736613
0.004124999978,7.200214168e-05,0.001276736613
0.004583333153,8.000238449e-05,0.001276736613
0.005041666795,8.800262003e-05,0.001276736613
0.00549999997,9.600285557e-05,0.001276736613
0.0,0.0,0.001923436066
0.0004583333211,-8.000238267e-06,0.001923436066
0.0009166666423,-1.600047653e-05,0.001923436066
0.001374999993,-2.400071389e-05,0.001923436066
0.001833333285,-3.200095307e-05,0.001923436066
0.002291666577,-4.000119225e-05,0.001923436066
0.002749999985,-4.800142779e-05,0.001923436066
0.003208333394,-5.600166696e-05,0.001923436066
0.003666666569,-6.400190614e-05,0.001923436066
0.004124999978,-7.200214168e-05,0.001923436066
